car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase
1,3,alfa-romero giulia,gas,std,two,convertible,rwd,front,88.6
2,3,alfa-romero stelvio,gas,std,two,convertible,rwd,front,88.6
3,1,alfa-romero Quadrifoglio,gas,std,two,hatchback,rwd,front,94.5
4,2,audi 100 ls,gas,std,four,sedan,fwd,front,99.8
5,2,audi 100ls,gas,std,four,sedan,4wd,front,99.4
6,2,audi fox,gas,std,two,sedan,fwd,front,99.8
7,1,audi 100ls,gas,std,four,sedan,fwd,front,105.8
8,1,audi 5000,gas,std,four,wagon,fwd,front,105.8
9,1,audi 4000,gas,turbo,four,sedan,fwd,front,105.8
10,0,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,front,99.5
11,2,bmw 320i,gas,std,two,sedan,rwd,front,101.2
12,0,bmw 320i,gas,std,four,sedan,rwd,front,101.2
13,0,bmw x1,gas,std,two,sedan,rwd,front,101.2
14,0,bmw x3,gas,std,four,sedan,rwd,front,101.2
15,1,bmw z4,gas,std,four,sedan,rwd,front,103.5
16,0,bmw x4,gas,std,four,sedan,rwd,front,103.5
17,0,bmw x5,gas,std,two,sedan,rwd,front,103.5
18,0,bmw x3,gas,std,four,sedan,rwd,front,110
19,2,chevrolet impala,gas,std,two,hatchback,fwd,front,88.4
20,1,chevrolet monte carlo,gas,std,two,hatchback,fwd,front,94.5
21,0,chevrolet vega 2300,gas,std,four,sedan,fwd,front,94.5
22,1,dodge rampage,gas,std,two,hatchback,fwd,front,93.7
23,1,dodge challenger se,gas,std,two,hatchback,fwd,front,93.7
24,1,dodge d200,gas,turbo,two,hatchback,fwd,front,93.7
25,1,dodge monaco (sw),gas,std,four,hatchback,fwd,front,93.7
26,1,dodge colt hardtop,gas,std,four,sedan,fwd,front,93.7
27,1,dodge colt (sw),gas,std,four,sedan,fwd,front,93.7
28,1,dodge coronet custom,gas,turbo,two,sedan,fwd,front,93.7
29,-1,dodge dart custom,gas,std,four,wagon,fwd,front,103.3
30,3,dodge coronet custom (sw),gas,turbo,two,hatchback,fwd,front,95.9
31,2,honda civic,gas,std,two,hatchback,fwd,front,86.6
32,2,honda civic cvcc,gas,std,two,hatchback,fwd,front,86.6
33,1,honda civic,gas,std,two,hatchback,fwd,front,93.7
34,1,honda accord cvcc,gas,std,two,hatchback,fwd,front,93.7
35,1,honda civic cvcc,gas,std,two,hatchback,fwd,front,93.7
36,0,honda accord lx,gas,std,four,sedan,fwd,front,96.5
37,0,honda civic 1500 gl,gas,std,four,wagon,fwd,front,96.5
38,0,honda accord,gas,std,two,hatchback,fwd,front,96.5
39,0,honda civic 1300,gas,std,two,hatchback,fwd,front,96.5
40,0,honda prelude,gas,std,four,sedan,fwd,front,96.5
41,0,honda accord,gas,std,four,sedan,fwd,front,96.5
42,0,honda civic,gas,std,four,sedan,fwd,front,96.5
43,1,honda civic (auto),gas,std,two,sedan,fwd,front,96.5
44,0,isuzu MU-X,gas,std,four,sedan,rwd,front,94.3
45,1,isuzu D-Max ,gas,std,two,sedan,fwd,front,94.5
46,0,isuzu D-Max V-Cross,gas,std,four,sedan,fwd,front,94.5
47,2,isuzu D-Max ,gas,std,two,hatchback,rwd,front,96
48,0,jaguar xj,gas,std,four,sedan,rwd,front,113
49,0,jaguar xf,gas,std,four,sedan,rwd,front,113
50,0,jaguar xk,gas,std,two,sedan,rwd,front,102
51,1,maxda rx3,gas,std,two,hatchback,fwd,front,93.1
52,1,maxda glc deluxe,gas,std,two,hatchback,fwd,front,93.1
53,1,mazda rx2 coupe,gas,std,two,hatchback,fwd,front,93.1
54,1,mazda rx-4,gas,std,four,sedan,fwd,front,93.1
55,1,mazda glc deluxe,gas,std,four,sedan,fwd,front,93.1
56,3,mazda 626,gas,std,two,hatchback,rwd,front,95.3
57,3,mazda glc,gas,std,two,hatchback,rwd,front,95.3
58,3,mazda rx-7 gs,gas,std,two,hatchback,rwd,front,95.3
59,3,mazda glc 4,gas,std,two,hatchback,rwd,front,95.3
60,1,mazda 626,gas,std,two,hatchback,fwd,front,98.8
61,0,mazda glc custom l,gas,std,four,sedan,fwd,front,98.8
62,1,mazda glc custom,gas,std,two,hatchback,fwd,front,98.8
63,0,mazda rx-4,gas,std,four,sedan,fwd,front,98.8
64,0,mazda glc deluxe,diesel,std,four,sedan,fwd,front,98.8
65,0,mazda 626,gas,std,four,hatchback,fwd,front,98.8
66,0,mazda glc,gas,std,four,sedan,rwd,front,104.9
67,0,mazda rx-7 gs,diesel,std,four,sedan,rwd,front,104.9
68,-1,buick electra 225 custom,diesel,turbo,four,sedan,rwd,front,110
69,-1,buick century luxus (sw),diesel,turbo,four,wagon,rwd,front,110
70,0,buick century,diesel,turbo,two,hardtop,rwd,front,106.7
71,-1,buick skyhawk,diesel,turbo,four,sedan,rwd,front,115.6
72,-1,buick opel isuzu deluxe,gas,std,four,sedan,rwd,front,115.6
73,3,buick skylark,gas,std,two,convertible,rwd,front,96.6
74,0,buick century special,gas,std,four,sedan,rwd,front,120.9
75,1,buick regal sport coupe (turbo),gas,std,two,hardtop,rwd,front,112
76,1,mercury cougar,gas,turbo,two,hatchback,rwd,front,102.7
77,2,mitsubishi mirage,gas,std,two,hatchback,fwd,front,93.7
78,2,mitsubishi lancer,gas,std,two,hatchback,fwd,front,93.7
79,2,mitsubishi outlander,gas,std,two,hatchback,fwd,front,93.7
80,1,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,93
81,3,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,96.3
82,3,mitsubishi g4,gas,std,two,hatchback,fwd,front,96.3
83,3,mitsubishi outlander,gas,turbo,two,hatchback,fwd,front,95.9
84,3,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,95.9
85,3,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,95.9
86,1,mitsubishi montero,gas,std,four,sedan,fwd,front,96.3
87,1,mitsubishi pajero,gas,std,four,sedan,fwd,front,96.3
88,1,mitsubishi outlander,gas,turbo,four,sedan,fwd,front,96.3
89,-1,mitsubishi mirage g4,gas,std,four,sedan,fwd,front,96.3
90,1,Nissan versa,gas,std,two,sedan,fwd,front,94.5
91,1,nissan gt-r,diesel,std,two,sedan,fwd,front,94.5
92,1,nissan rogue,gas,std,two,sedan,fwd,front,94.5
93,1,nissan latio,gas,std,four,sedan,fwd,front,94.5
94,1,nissan titan,gas,std,four,wagon,fwd,front,94.5
95,1,nissan leaf,gas,std,two,sedan,fwd,front,94.5
96,1,nissan juke,gas,std,two,hatchback,fwd,front,94.5
97,1,nissan latio,gas,std,four,sedan,fwd,front,94.5
98,1,nissan note,gas,std,four,wagon,fwd,front,94.5
99,2,nissan clipper,gas,std,two,hardtop,fwd,front,95.1
100,0,nissan rogue,gas,std,four,hatchback,fwd,front,97.2
101,0,nissan nv200,gas,std,four,sedan,fwd,front,97.2
102,0,nissan dayz,gas,std,four,sedan,fwd,front,100.4
103,0,nissan fuga,gas,std,four,wagon,fwd,front,100.4
104,0,nissan otti,gas,std,four,sedan,fwd,front,100.4
105,3,nissan teana,gas,std,two,hatchback,rwd,front,91.3
106,3,nissan kicks,gas,turbo,two,hatchback,rwd,front,91.3
107,1,nissan clipper,gas,std,two,hatchback,rwd,front,99.2
108,0,peugeot 504,gas,std,four,sedan,rwd,front,107.9
109,0,peugeot 304,diesel,turbo,four,sedan,rwd,front,107.9
110,0,peugeot 504 (sw),gas,std,four,wagon,rwd,front,114.2
111,0,peugeot 504,diesel,turbo,four,wagon,rwd,front,114.2
112,0,peugeot 504,gas,std,four,sedan,rwd,front,107.9
113,0,peugeot 604sl,diesel,turbo,four,sedan,rwd,front,107.9
114,0,peugeot 504,gas,std,four,wagon,rwd,front,114.2
115,0,peugeot 505s turbo diesel,diesel,turbo,four,wagon,rwd,front,114.2
116,0,peugeot 504,gas,std,four,sedan,rwd,front,107.9
117,0,peugeot 504,diesel,turbo,four,sedan,rwd,front,107.9
118,0,peugeot 604sl,gas,turbo,four,sedan,rwd,front,108
119,1,plymouth fury iii,gas,std,two,hatchback,fwd,front,93.7
120,1,plymouth cricket,gas,turbo,two,hatchback,fwd,front,93.7
121,1,plymouth fury iii,gas,std,four,hatchback,fwd,front,93.7
122,1,plymouth satellite custom (sw),gas,std,four,sedan,fwd,front,93.7
123,1,plymouth fury gran sedan,gas,std,four,sedan,fwd,front,93.7
124,-1,plymouth valiant,gas,std,four,wagon,fwd,front,103.3
125,3,plymouth duster,gas,turbo,two,hatchback,rwd,front,95.9
126,3,porsche macan,gas,std,two,hatchback,rwd,front,94.5
127,3,porcshce panamera,gas,std,two,hardtop,rwd,rear,89.5
128,3,porsche cayenne,gas,std,two,hardtop,rwd,rear,89.5
129,3,porsche boxter,gas,std,two,convertible,rwd,rear,89.5
130,1,porsche cayenne,gas,std,two,hatchback,rwd,front,98.4
131,0,renault 12tl,gas,std,four,wagon,fwd,front,96.1
132,2,renault 5 gtl,gas,std,two,hatchback,fwd,front,96.1
133,3,saab 99e,gas,std,two,hatchback,fwd,front,99.1
134,2,saab 99le,gas,std,four,sedan,fwd,front,99.1
135,3,saab 99le,gas,std,two,hatchback,fwd,front,99.1
136,2,saab 99gle,gas,std,four,sedan,fwd,front,99.1
137,3,saab 99gle,gas,turbo,two,hatchback,fwd,front,99.1
138,2,saab 99e,gas,turbo,four,sedan,fwd,front,99.1
139,2,subaru,gas,std,two,hatchback,fwd,front,93.7
140,2,subaru dl,gas,std,two,hatchback,fwd,front,93.7
141,2,subaru dl,gas,std,two,hatchback,4wd,front,93.3
142,0,subaru,gas,std,four,sedan,fwd,front,97.2
143,0,subaru brz,gas,std,four,sedan,fwd,front,97.2
144,0,subaru baja,gas,std,four,sedan,fwd,front,97.2
145,0,subaru r1,gas,std,four,sedan,4wd,front,97
146,0,subaru r2,gas,turbo,four,sedan,4wd,front,97
147,0,subaru trezia,gas,std,four,wagon,fwd,front,97
148,0,subaru tribeca,gas,std,four,wagon,fwd,front,97
149,0,subaru dl,gas,std,four,wagon,4wd,front,96.9
150,0,subaru dl,gas,turbo,four,wagon,4wd,front,96.9
151,1,toyota corona mark ii,gas,std,two,hatchback,fwd,front,95.7
152,1,toyota corona,gas,std,two,hatchback,fwd,front,95.7
153,1,toyota corolla 1200,gas,std,four,hatchback,fwd,front,95.7
154,0,toyota corona hardtop,gas,std,four,wagon,fwd,front,95.7
155,0,toyota corolla 1600 (sw),gas,std,four,wagon,4wd,front,95.7
156,0,toyota carina,gas,std,four,wagon,4wd,front,95.7
157,0,toyota mark ii,gas,std,four,sedan,fwd,front,95.7
158,0,toyota corolla 1200,gas,std,four,hatchback,fwd,front,95.7
159,0,toyota corona,diesel,std,four,sedan,fwd,front,95.7
160,0,toyota corolla,diesel,std,four,hatchback,fwd,front,95.7
161,0,toyota corona,gas,std,four,sedan,fwd,front,95.7
162,0,toyota corolla,gas,std,four,hatchback,fwd,front,95.7
163,0,toyota mark ii,gas,std,four,sedan,fwd,front,95.7
164,1,toyota corolla liftback,gas,std,two,sedan,rwd,front,94.5
165,1,toyota corona,gas,std,two,hatchback,rwd,front,94.5
166,1,toyota celica gt liftback,gas,std,two,sedan,rwd,front,94.5
167,1,toyota corolla tercel,gas,std,two,hatchback,rwd,front,94.5
168,2,toyota corona liftback,gas,std,two,hardtop,rwd,front,98.4
169,2,toyota corolla,gas,std,two,hardtop,rwd,front,98.4
170,2,toyota starlet,gas,std,two,hatchback,rwd,front,98.4
171,2,toyota tercel,gas,std,two,hardtop,rwd,front,98.4
172,2,toyota corolla,gas,std,two,hatchback,rwd,front,98.4
173,2,toyota cressida,gas,std,two,convertible,rwd,front,98.4
174,-1,toyota corolla,gas,std,four,sedan,fwd,front,102.4
175,-1,toyota celica gt,diesel,turbo,four,sedan,fwd,front,102.4
176,-1,toyota corona,gas,std,four,hatchback,fwd,front,102.4
177,-1,toyota corolla,gas,std,four,sedan,fwd,front,102.4
178,-1,toyota mark ii,gas,std,four,hatchback,fwd,front,102.4
179,3,toyota corolla liftback,gas,std,two,hatchback,rwd,front,102.9
180,3,toyota corona,gas,std,two,hatchback,rwd,front,102.9
181,-1,toyota starlet,gas,std,four,sedan,rwd,front,104.5
182,-1,toyouta tercel,gas,std,four,wagon,rwd,front,104.5
183,2,vokswagen rabbit,diesel,std,two,sedan,fwd,front,97.3
184,2,volkswagen 1131 deluxe sedan,gas,std,two,sedan,fwd,front,97.3
185,2,volkswagen model 111,diesel,std,four,sedan,fwd,front,97.3
186,2,volkswagen type 3,gas,std,four,sedan,fwd,front,97.3
187,2,volkswagen 411 (sw),gas,std,four,sedan,fwd,front,97.3
188,2,volkswagen super beetle,diesel,turbo,four,sedan,fwd,front,97.3
189,2,volkswagen dasher,gas,std,four,sedan,fwd,front,97.3
190,3,vw dasher,gas,std,two,convertible,fwd,front,94.5
191,3,vw rabbit,gas,std,two,hatchback,fwd,front,94.5
192,0,volkswagen rabbit,gas,std,four,sedan,fwd,front,100.4
193,0,volkswagen rabbit custom,diesel,turbo,four,sedan,fwd,front,100.4
194,0,volkswagen dasher,gas,std,four,wagon,fwd,front,100.4
195,-2,volvo 145e (sw),gas,std,four,sedan,rwd,front,104.3
196,-1,volvo 144ea,gas,std,four,wagon,rwd,front,104.3
197,-2,volvo 244dl,gas,std,four,sedan,rwd,front,104.3
198,-1,volvo 245,gas,std,four,wagon,rwd,front,104.3
199,-2,volvo 264gl,gas,turbo,four,sedan,rwd,front,104.3
200,-1,volvo diesel,gas,turbo,four,wagon,rwd,front,104.3
201,-1,volvo 145e (sw),gas,std,four,sedan,rwd,front,109.1
202,-1,volvo 144ea,gas,turbo,four,sedan,rwd,front,109.1
203,-1,volvo 244dl,gas,std,four,sedan,rwd,front,109.1
204,-1,volvo 246,diesel,turbo,four,sedan,rwd,front,109.1
205,-1,volvo 264gl,gas,turbo,four,sedan,rwd,front,109.1
